product_id,annotated_image_name,fabric_types_clean,wear_types_clean,colors_clean,textures_clean,value_additions_clean
1,0560000072957.jpg,Cotton,Saree,"orange,white",Hand Embroidery,Hand Embroidery
1,0560000072957.jpg___dress.png,Cotton,Saree,"orange,white",Hand Embroidery,Hand Embroidery
1,0560000072957_2.jpg,Cotton,Saree,red,Hand Embroidery,Hand Embroidery
1,0560000072957_2.jpg___dress.png,Cotton,Saree,red,Hand Embroidery,Hand Embroidery
1,0560000072957_1.jpg___dress.png,Cotton,Saree,"orange,white",Hand Embroidery,Hand Embroidery
4,0560000072382.jpg,Cotton,Saree,orange,Screen Print,Screen Print
4,0560000072382.jpg___full.png,Cotton,Saree,orange,Screen Print,Screen Print
4,0560000072382.jpg___lower.png,Cotton,Saree,orange,Screen Print,Screen Print
4,0560000072382_2.jpg___dress.png,Cotton,Saree,orange,Screen Print,Screen Print
4,0560000072382_1.jpg,Cotton,Saree,orange,Screen Print,Screen Print
4,0560000072382_1.jpg___full.png,Cotton,Saree,orange,Screen Print,Screen Print
5,0560000072990.jpg,Cotton,Saree,"pink,brown,orange,yellow,purple",Screen Print,Screen Print
5,0560000072990.jpg___dress.png,Cotton,Saree,"pink,brown,orange,yellow,purple",Screen Print,Screen Print
5,0560000072990_2.jpg,Cotton,Saree,"orange,pink,purple",Screen Print,Screen Print
5,0560000072990_2.jpg___dress.png,Cotton,Saree,"orange,pink,purple",Screen Print,Screen Print
5,0560000072990_1.jpg,Cotton,Saree,"orange,pink,purple",Screen Print,Screen Print
5,0560000072990_1.jpg___full.png,Cotton,Saree,"orange,pink,purple",Screen Print,Screen Print
6,0560000072958_3.jpg,Cotton,Saree,orange,Machine Embroidery,
6,0560000072958_3.jpg___dress.png,Cotton,Saree,"orange,red,green",Machine Embroidery,
6,0560000072958_2.jpg,Cotton,Saree,"orange,purple,golden,green",Machine Embroidery,
6,0560000072958_2.jpg___dress.png,Cotton,Saree,"orange,purple,golden",Machine Embroidery,
